Stimulus,set,expression,sex,total_rating,female_rating,male_rating
022_y_f_n_b.jpg,b,neutral,female,97,100,92
028_y_f_n_a.jpg,a,neutral,female,92,67,100
028_y_f_n_b.jpg,b,neutral,female,92,80,91
034_y_f_n_a.jpg,a,neutral,female,90,83,100
034_y_f_n_b.jpg,b,neutral,female,86,90,83
040_y_f_n_a.jpg,a,neutral,female,89,83,100
040_y_f_n_b.jpg,b,neutral,female,93,100,92
048_y_f_n_a.jpg,a,neutral,female,97,100,100
048_y_f_n_b.jpg,b,neutral,female,97,100,100
054_y_f_n_a.jpg,a,neutral,female,85,91,100
054_y_f_n_b.jpg,b,neutral,female,97,100,92
063_y_f_n_a.jpg,a,neutral,female,95,92,90
063_y_f_n_b.jpg,b,neutral,female,92,100,83
069_y_f_n_a.jpg,a,neutral,female,89,83,100
069_y_f_n_b.jpg,b,neutral,female,95,100,92
071_y_f_n_a.jpg,a,neutral,female,94,80,100
071_y_f_n_b.jpg,b,neutral,female,94,100,100
085_y_f_n_a.jpg,a,neutral,female,71,58,100
085_y_f_n_b.jpg,b,neutral,female,81,100,75
090_y_f_n_a.jpg,a,neutral,female,95,90,100
090_y_f_n_b.jpg,b,neutral,female,95,90,100
098_y_f_n_a.jpg,a,neutral,female,97,82,100
098_y_f_n_b.jpg,b,neutral,female,92,100,92
101_y_f_n_a.jpg,a,neutral,female,86,83,91
101_y_f_n_b.jpg,b,neutral,female,94,100,91
106_y_f_n_a.jpg,a,neutral,female,91,83,100
106_y_f_n_b.jpg,b,neutral,female,99,100,100
115_y_f_n_a.jpg,a,neutral,female,97,91,100
115_y_f_n_b.jpg,b,neutral,female,94,100,91
125_y_f_n_a.jpg,a,neutral,female,92,92,100
125_y_f_n_b.jpg,b,neutral,female,94,100,83
132_y_f_n_a.jpg,a,neutral,female,91,83,100
132_y_f_n_b.jpg,b,neutral,female,91,100,83
134_y_f_n_a.jpg,a,neutral,female,78,80,75
134_y_f_n_b.jpg,b,neutral,female,78,80,83
140_y_f_n_a.jpg,a,neutral,female,87,73,85
140_y_f_n_b.jpg,b,neutral,female,93,90,83
150_y_f_n_a.jpg,a,neutral,female,76,64,92
150_y_f_n_b.jpg,b,neutral,female,61,50,27
152_y_f_n_a.jpg,a,neutral,female,91,91,91
152_y_f_n_b.jpg,b,neutral,female,89,89,100
162_y_f_n_a.jpg,a,neutral,female,87,73,100
162_y_f_n_b.jpg,b,neutral,female,88,90,92
163_y_f_n_a.jpg,a,neutral,female,94,92,100
163_y_f_n_b.jpg,b,neutral,female,96,100,92
171_y_f_n_a.jpg,a,neutral,female,86,80,92
171_y_f_n_b.jpg,b,neutral,female,91,90,92
173_y_f_n_a.jpg,a,neutral,female,91,92,100
173_y_f_n_b.jpg,b,neutral,female,100,100,100
177_y_f_n_a.jpg,a,neutral,female,92,91,82
177_y_f_n_b.jpg,b,neutral,female,90,100,92
182_y_f_n_a.jpg,a,neutral,female,91,82,100
182_y_f_n_b.jpg,b,neutral,female,99,100,92
008_y_m_n_a.jpg,a,neutral,male,94,80,100
008_y_m_n_b.jpg,b,neutral,male,96,100,92
013_y_m_n_a.jpg,a,neutral,male,97,91,100
013_y_m_n_b.jpg,b,neutral,male,96,100,83
016_y_m_n_a.jpg,a,neutral,male,91,92,100
016_y_m_n_b.jpg,b,neutral,male,99,100,100
025_y_m_n_a.jpg,a,neutral,male,88,92,80
025_y_m_n_b.jpg,b,neutral,male,94,100,83
031_y_m_n_a.jpg,a,neutral,male,92,91,100
031_y_m_n_b.jpg,b,neutral,male,93,100,83
037_y_m_n_a.jpg,a,neutral,male,94,91,100
037_y_m_n_b.jpg,b,neutral,male,97,100,91
041_y_m_n_a.jpg,a,neutral,male,94,85,100
041_y_m_n_b.jpg,b,neutral,male,92,89,92
049_y_m_n_a.jpg,a,neutral,male,97,90,100
049_y_m_n_b.jpg,b,neutral,male,97,100,92
057_y_m_n_a.jpg,a,neutral,male,91,75,100
057_y_m_n_b.jpg,b,neutral,male,96,100,91
062_y_m_n_a.jpg,a,neutral,male,97,82,100
062_y_m_n_b.jpg,b,neutral,male,89,90,91
066_y_m_n_a.jpg,a,neutral,male,94,92,100
066_y_m_n_b.jpg,b,neutral,male,97,100,100
072_y_m_n_a.jpg,a,neutral,male,95,83,100
072_y_m_n_b.jpg,b,neutral,male,99,100,100
081_y_m_n_a.jpg,a,neutral,male,94,90,100
081_y_m_n_b.jpg,b,neutral,male,97,100,100
089_y_m_n_a.jpg,a,neutral,male,94,91,100
089_y_m_n_b.jpg,b,neutral,male,94,91,82
099_y_m_n_a.jpg,a,neutral,male,89,92,91
099_y_m_n_b.jpg,b,neutral,male,91,100,100
105_y_m_n_a.jpg,a,neutral,male,89,92,91
105_y_m_n_b.jpg,b,neutral,male,92,100,92
109_y_m_n_a.jpg,a,neutral,male,95,91,100
109_y_m_n_b.jpg,b,neutral,male,92,90,83
114_y_m_n_a.jpg,a,neutral,male,94,85,100
114_y_m_n_b.jpg,b,neutral,male,93,91,82
119_y_m_n_a.jpg,a,neutral,male,91,80,92
119_y_m_n_b.jpg,b,neutral,male,97,100,90
123_y_m_n_a.jpg,a,neutral,male,89,90,100
123_y_m_n_b.jpg,b,neutral,male,93,100,92
127_y_m_n_a.jpg,a,neutral,male,93,92,100
127_y_m_n_b.jpg,b,neutral,male,99,100,100
135_y_m_n_a.jpg,a,neutral,male,91,91,100
135_y_m_n_b.jpg,b,neutral,male,95,91,91
144_y_m_n_a.jpg,a,neutral,male,92,80,100
144_y_m_n_b.jpg,b,neutral,male,97,100,91
147_y_m_n_a.jpg,a,neutral,male,92,82,100
147_y_m_n_b.jpg,b,neutral,male,88,90,83
153_y_m_n_a.jpg,a,neutral,male,91,92,100
153_y_m_n_b.jpg,b,neutral,male,97,90,100
160_y_m_n_a.jpg,a,neutral,male,94,91,100
160_y_m_n_b.jpg,b,neutral,male,83,100,83
167_y_m_n_a.jpg,a,neutral,male,88,90,100
167_y_m_n_b.jpg,b,neutral,male,87,91,73
170_y_m_n_a.jpg,a,neutral,male,86,73,100
170_y_m_n_b.jpg,b,neutral,male,80,90,73
175_y_m_n_a.jpg,a,neutral,male,91,90,100
175_y_m_n_b.jpg,b,neutral,male,93,100,83
